a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
723056,http://www.banggo.com/goods/723056.shtml,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9
723059,http://www.banggo.com/goods/723059.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9
723060,http://www.banggo.com/goods/723060.shtml,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,,90.935,90.935,139.9,9.793,9.793,11.192,11.192,139.9,139.9,139.9,90.935,90.93
723061,http://www.banggo.com/goods/723061.shtml,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,113.9,113.9,99.9
723063,http://www.banggo.com/goods/723063.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
723064,http://www.banggo.com/goods/723064.shtml,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,199.0,,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0
723065,http://www.banggo.com/goods/723065.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
723066,http://www.banggo.com/goods/723066.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,239.0,,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0
723067,http://www.banggo.com/goods/723067.shtml,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,269.0,,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
723068,http://www.banggo.com/goods/723068.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,239.0,,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0
723069,http://www.banggo.com/goods/723069.shtml,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,199.0,,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0
723071,http://www.banggo.com/goods/723071.shtml,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,,139.685,139.685,214.9,15.043,15.043,17.192,17.192,214.9,214.9,214.9,139.685,150.43
